Text,Emotion
"['didnt', 'feel', 'humili']",0
"['go', 'feel', 'hopeless', 'damn', 'hope', 'around', 'someon', 'care', 'awak']",0
"['im', 'grab', 'minut', 'post', 'feel', 'greedi', 'wrong']",3
"['ever', 'feel', 'nostalg', 'fireplac', 'know', 'still', 'properti']",2
"['feel', 'grouchi']",3
"['ive', 'feel', 'littl', 'burden', 'late', 'wasnt', 'sure', 'whi', 'wa']",0
"['ive', 'take', 'milligram', 'time', 'recommend', 'amount', 'ive', 'fallen', 'asleep', 'lot', 'faster', 'also', 'feel', 'like', 'funni']",5
"['feel', 'confus', 'life', 'teenag', 'jade', 'year', 'old', 'man']",4
"['petrona', 'year', 'feel', 'petrona', 'ha', 'perform', 'well', 'made', 'huge', 'profit']",1
"['feel', 'romant']",2
"['feel', 'like', 'make', 'suffer', 'see', 'mean', 'someth']",0
"['feel', 'run', 'divin', 'experi', 'expect', 'type', 'spiritu', 'encount']",1
"['think', 'easiest', 'time', 'year', 'feel', 'dissatisfi']",3
"['feel', 'low', 'energi', 'thirsti']",0
"['immens', 'sympathi', 'gener', 'point', 'possibl', 'proto', 'writer', 'tri', 'find', 'time', 'write', 'corner', 'life', 'sign', 'agent', 'let', 'alon', 'publish', 'contract', 'thi', 'feel', 'littl', 'preciou']",1
"['feel', 'reassur', 'anxieti', 'side']",1
"['didnt', 'realli', 'feel', 'embarrass']",0
"['feel', 'pretti', 'pathet', 'time']",0
"['start', 'feel', 'sentiment', 'doll', 'child', 'began', 'collect', 'vintag', 'barbi', 'doll', 'sixti']",0
"['feel', 'compromis', 'skeptic', 'valu', 'everi', 'unit', 'work', 'put']",4
"['feel', 'irrit', 'reject', 'without', 'anyon', 'anyth', 'say', 'anyth']",3
"['feel', 'complet', 'overwhelm', 'two', 'strategi', 'help', 'feel', 'ground', 'pour', 'heart', 'journal', 'form', 'letter', 'god', 'end', 'list', 'five', 'thing', 'grate']",4
"['feel', 'wa', 'amus', 'delight']",1
"['wa', 'abl', 'help', 'chai', 'lifelin', 'support', 'encourag', 'great', 'feel', 'glad', 'abl', 'help']",1
"['alreadi', 'feel', 'like', 'fuck', 'though', 'becaus', 'dont', 'usual', 'eat', 'morn']",3
"['still', 'love', 'wish', 'best', 'longer', 'toler', 'effect', 'bm', 'ha', 'live', 'fact', 'ha', 'turn', 'bitter', 'angri', 'person', 'alway', 'particularli', 'kind', 'peopl', 'around', 'feel', 'stress']",0
"['feel', 'inhibit', 'someon', 'els', 'kitchen', 'like', 'im', 'paint', 'someon', 'els', 'pictur']",0
"['becom', 'overwhelm', 'feel', 'defeat']",0
"['feel', 'kinda', 'appal', 'feel', 'like', 'need', 'explain', 'wide', 'lenghth', 'bodi', 'measur', 'etc', 'pp']",3
"['feel', 'superior', 'dead', 'chicken', 'griev', 'child']",1
"['get', 'giddi', 'feel', 'eleg', 'perfectli', 'fit', 'pencil', 'skirt']",1
"['rememb', 'feel', 'acut', 'distress', 'day']",4
"['seen', 'heard', 'read', 'past', 'coupl', 'day', 'left', 'feel', 'impress', 'compani']",5
"['climb', 'hill', 'feel', 'frustrat', 'id', 'pretti', 'much', 'pace', 'entir', 'wrong', 'thi', 'cours', 'factor', 'ha', 'never', 'ever', 'hamper', 'made', 'dent', 'day']",3
"['imagin', 'real', 'life', 'scenario', 'would', 'emot', 'connect', 'enough', 'someon', 'feel', 'total', 'accept', 'safe', 'moral', 'accept', 'close', 'prolong', 'physic', 'contact', 'sex', 'expect', 'subsequ']",1
"['sure', 'would', 'make', 'feel', 'content', 'anyth']",1
"['feel', 'need', 'creativ']",1
"['howev', 'want', 'know', 'someth', 'someon', 'caus', 'feel', 'less', 'splendid', 'self', 'step', 'away']",1
"['feel', 'bit', 'rude', 'write', 'elderli', 'gentleman', 'ask', 'gift', 'becaus', 'feel', 'bit', 'greedi', 'christma', 'mild', 'greed']",3
"['need', 'need', 'someon', 'need', 'protect', 'feel', 'safe', 'small', 'find', 'season', 'word']",1
"['plan', 'share', 'everyday', 'life', 'stori', 'travel', 'adventur', 'inspir', 'handmad', 'creation', 'hope', 'also', 'feel', 'inspir']",1
"['alreadi', 'christma', 'tree', 'got', 'two', 'feel', 'festiv', 'sure', 'spur', 'get', 'start', 'thi', 'book']",1
"['ive', 'worn', 'onc', 'littl', 'conceal', 'day', 'im', 'feel', 'brave', 'dont', 'want', 'pale', 'perfect']",1
"['feel', 'veri', 'strongli', 'passion', 'jerk', 'decid', 'poke', 'make', 'fun', 'us']",1
"['wa', 'feel', 'discourag', 'alreadi', 'rob', 'peter', 'pay', 'paul', 'get', 'cow', 'thi', 'year', 'cant', 'afford', 'get', 'cow', 'thi', 'way']",0
"['wa', 'feel', 'listless', 'need', 'new', 'thing', 'someth', 'differ']",0
"['lost', 'special', 'mind', 'worri', 'still', 'sane', 'want', 'feel', 'felt', 'read', 'thi', 'book', 'know', 'mani', 'time', 'wa', 'said', 'sam', 'wa', 'special', 'guarante', 'wa', 'mani', 'time', 'use', 'paragraph', 'tell', 'wa', 'special']",1
